"","Category","City","Country","Customer.Name","Discount","Number.of.Records","Order.Date","Order.ID","Postal.Code","Manufacturer","Product.Name","Profit","Quantity","Region","Sales","Segment","Ship.Date","Ship.Mode","State","Sub.Category"
"2795","Office Supplies","New York City","United States","Lisa DeCherney",0,1,"9/29/2015","CA-2015-124856",10011,"Other","Dual Level, Single-Width Filing Carts",362.8404,9,"East",1395.54,"Consumer","10/3/2015","Second Class","New York","Storage"
"2796","Office Supplies","Fairfield","United States","Maris LaWare",0,1,"11/14/2015","CA-2015-125556",6824,"Acco","Acco 3-Hole Punch",21.024,10,"East",43.8,"Consumer","11/16/2015","Second Class","Connecticut","Binders"
"2797","Office Supplies","Everett","United States","Sandra Flanagan",0,1,"11/1/2018","CA-2018-104136",2149,"Xerox","Xerox 1939",91.056,10,"East",189.7,"Consumer","11/4/2018","Second Class","Massachusetts","Paper"
"2798","Office Supplies","New York City","United States","Kelly Andreada",0,1,"3/11/2015","CA-2015-158337",10024,"Southworth","Southworth 100% Résumé Paper, 24lb.",49.014,14,"East",108.92,"Consumer","3/14/2015","Second Class","New York","Paper"
"2799","Office Supplies","New York City","United States","Christina DeMoss",0.2,1,"11/5/2018","CA-2018-102925",10024,"Avery","Avery Premier Heavy-Duty Binder with Round Locking Rings",3.7128,1,"East",11.424,"Consumer","11/10/2018","Second Class","New York","Binders"
"2800","Office Supplies","Cleveland","United States","Dan Campbell",0.2,1,"3/24/2017","CA-2017-130911",44105,"Hunt","Hunt BOSTON Vista Battery-Operated Pencil Sharpener, Black",1.6324,2,"East",18.656,"Consumer","3/26/2017","Second Class","Ohio","Art"
"2801","Office Supplies","Freeport","United States","Mary O'Rourke",0.2,1,"11/28/2015","CA-2015-121167",11520,"GBC","GBC Standard Recycled Report Covers, Clear Plastic Sheets",6.0368,2,"East",17.248,"Consumer","11/30/2015","Second Class","New York","Binders"
"2802","Office Supplies","New York City","United States","Greg Tran",0.2,1,"6/13/2017","CA-2017-126795",10024,"Other","Premium Transparent Presentation Covers by GBC",11.7488,2,"East",33.568,"Consumer","6/16/2017","Second Class","New York","Binders"
"2803","Office Supplies","New York City","United States","Pauline Johnson",0.2,1,"7/18/2016","CA-2016-122973",10024,"Other","Economy Binders",1.2064,2,"East",3.328,"Consumer","7/20/2016","Second Class","New York","Binders"
"2804","Office Supplies","New York City","United States","Brian DeCherney",0.2,1,"12/25/2017","CA-2017-111941",10035,"GBC","GBC Premium Transparent Covers with Diagonal Lined Pattern",11.7488,2,"East",33.568,"Consumer","12/28/2017","Second Class","New York","Binders"
"2805","Office Supplies","New York City","United States","Natalie DeCherney",0.2,1,"7/13/2016","CA-2016-114069",10035,"GBC","GBC Plastic Binding Combs",4.2804,2,"East",11.808,"Consumer","7/15/2016","Second Class","New York","Binders"
"2806","Office Supplies","Lancaster","United States","Darrin Martin",0.2,1,"8/24/2018","CA-2018-139717",43130,"Xerox","Xerox 1966",3.7584,2,"East",10.368,"Consumer","8/26/2018","Second Class","Ohio","Paper"
"2807","Office Supplies","Cleveland","United States","Karl Braun",0.2,1,"12/27/2015","US-2015-159611",44105,"SAFCO","Safco Industrial Shelving",-25.109,2,"East",118.16,"Consumer","1/1/2016","Second Class","Ohio","Storage"
"2808","Office Supplies","Lancaster","United States","Dennis Kane",0.2,1,"11/12/2018","CA-2018-166835",17602,"SAFCO","SAFCO Commercial Wire Shelving, Black",-55.256,2,"East",221.024,"Consumer","11/14/2018","Second Class","Pennsylvania","Storage"
"2809","Office Supplies","Columbus","United States","Maxwell Schwartz",0.2,1,"8/19/2015","US-2015-164616",43229,"Acme","Acme Kleencut Forged Steel Scissors",1.148,2,"East",9.184,"Consumer","8/21/2015","Second Class","Ohio","Supplies"
"2810","Office Supplies","Columbus","United States","Pauline Johnson",0.2,1,"8/18/2018","CA-2018-163069",43229,"Newell","Newell 325",1.239,3,"East",9.912,"Consumer","8/21/2018","Second Class","Ohio","Art"
"2811","Office Supplies","Kent","United States","John Huston",0.2,1,"1/27/2018","CA-2018-117870",44240,"Newell","Newell 312",1.752,3,"East",14.016,"Consumer","1/30/2018","Second Class","Ohio","Art"
"2812","Office Supplies","Long Beach","United States","Christine Sundaresam",0.2,1,"7/7/2018","CA-2018-105053",11561,"Wilson Jones","Wilson Jones Active Use Binders",6.3336,3,"East",17.472,"Consumer","7/9/2018","Second Class","New York","Binders"
"2813","Office Supplies","New York City","United States","Denny Blanton",0.2,1,"3/17/2018","CA-2018-140949",10011,"Acco","Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",3.0861,3,"East",9.144,"Consumer","3/22/2018","Second Class","New York","Binders"
"2814","Office Supplies","New York City","United States","Shui Tom",0.2,1,"9/23/2015","CA-2015-163559",10035,"Avery","Avery Arch Ring Binders",47.061,3,"East",139.44,"Consumer","9/28/2015","Second Class","New York","Binders"
"2815","Office Supplies","Rochester","United States","Melanie Seite",0.2,1,"7/23/2016","CA-2016-124044",14609,"Acco","Acco 3-Hole Punch",3.6792,3,"East",10.512,"Consumer","7/26/2016","Second Class","New York","Binders"
"2816","Office Supplies","Reading","United States","Ted Butterfield",0.2,1,"3/21/2018","CA-2018-117156",19601,"Other","Colored Envelopes",2.8782,3,"East",8.856,"Consumer","3/23/2018","Second Class","Pennsylvania","Envelopes"
"2817","Office Supplies","Bowling Green","United States","Maurice Satty",0.2,1,"8/24/2016","CA-2016-123939",43402,"Avery","Avery 474",2.5056,3,"East",6.912,"Consumer","8/26/2016","Second Class","Ohio","Labels"
"2818","Office Supplies","Fairfield","United States","Larry Tron",0.2,1,"12/4/2018","CA-2018-160031",45014,"Other","IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",23.235,3,"East",74.352,"Consumer","12/7/2018","Second Class","Ohio","Paper"
"2819","Office Supplies","Philadelphia","United States","Logan Currie",0.2,1,"9/9/2015","CA-2015-102869",19140,"Xerox","Xerox 210",5.4432,3,"East",15.552,"Consumer","9/14/2015","Second Class","Pennsylvania","Paper"
"2820","Office Supplies","Bowling Green","United States","Maurice Satty",0.2,1,"8/24/2016","CA-2016-123939",43402,"Other","Adjustable Depth Letter/Legal Cart",48.9942,3,"East",435.504,"Consumer","8/26/2016","Second Class","Ohio","Storage"
"2821","Office Supplies","Toledo","United States","Art Foster",0.2,1,"11/10/2017","CA-2017-115588",43615,"Acco","Acco Perma 4000 Stacking Storage Drawers",-2.436,3,"East",38.976,"Consumer","11/12/2017","Second Class","Ohio","Storage"
"2822","Office Supplies","Philadelphia","United States","John Castell",0.2,1,"7/25/2018","CA-2018-121293",19143,"Acme","Acme Galleria Hot Forged Steel Scissors with Colored Handles",4.2471,3,"East",37.752,"Consumer","7/28/2018","Second Class","Pennsylvania","Supplies"
"2823","Office Supplies","Akron","United States","Maribeth Dona",0.2,1,"9/4/2018","CA-2018-109757",44312,"Dixon","DIXON Oriole Pencils",0.6192,4,"East",8.256,"Consumer","9/9/2018","Second Class","Ohio","Art"
"2824","Office Supplies","Akron","United States","Maribeth Dona",0.2,1,"9/4/2018","CA-2018-109757",44312,"Other","Telephone Message Books with Fax/Mobile Section, 4 1/4"" x 6""",3.744,4,"East",11.52,"Consumer","9/9/2018","Second Class","Ohio","Paper"
"2825","Office Supplies","Akron","United States","Ted Trevino",0.2,1,"5/18/2015","CA-2015-164224",44312,"Xerox","Xerox 1949",5.7768,4,"East",15.936,"Consumer","5/20/2015","Second Class","Ohio","Paper"
"2826","Office Supplies","Springfield","United States","Michael Nguyen",0.2,1,"5/15/2017","CA-2017-165673",45503,"TOPS","TOPS Voice Message Log Book, Flash Format",5.5216,4,"East",15.232,"Consumer","5/19/2017","Second Class","Ohio","Paper"
"2827","Office Supplies","Philadelphia","United States","Neola Schneider",0.2,1,"1/19/2018","CA-2018-153045",19140,"Strathmore","Strathmore Photo Mount Cards",7.0512,4,"East",21.696,"Consumer","1/24/2018","Second Class","Pennsylvania","Paper"
"2828","Office Supplies","Philadelphia","United States","John Castell",0.2,1,"7/25/2018","CA-2018-121293",19143,"Xerox","Xerox 216",7.2576,4,"East",20.736,"Consumer","7/28/2018","Second Class","Pennsylvania","Paper"
"2829","Office Supplies","Columbus","United States","Brian Derr",0.2,1,"10/5/2015","CA-2015-152422",43229,"Belkin","Belkin F5C206VTEL 6 Outlet Surge",11.49,5,"East",91.92,"Consumer","10/10/2015","Second Class","Ohio","Appliances"
"2830","Office Supplies","Kent","United States","Ricardo Emerson",0.2,1,"12/29/2015","CA-2015-165477",44240,"Acco","Acco 6 Outlet Guardian Standard Surge Suppressor",6.045,5,"East",48.36,"Consumer","12/31/2015","Second Class","Ohio","Appliances"
"2831","Office Supplies","Dublin","United States","Christine Sundaresam",0.2,1,"6/16/2018","CA-2018-111269",43017,"Newell","Newell 330",1.794,5,"East",23.92,"Consumer","6/18/2018","Second Class","Ohio","Art"
"2832","Office Supplies","Philadelphia","United States","Art Foster",0.2,1,"5/10/2015","CA-2015-114181",19134,"Dixon","DIXON Ticonderoga Erasable Checking Pencils",5.301,5,"East",22.32,"Consumer","5/14/2015","Second Class","Pennsylvania","Art"
"2833","Office Supplies","New York City","United States","Brian Derr",0.2,1,"12/5/2016","CA-2016-110814",10009,"Avery","Avery Arch Ring Binders",78.435,5,"East",232.4,"Consumer","12/9/2016","Second Class","New York","Binders"
"2834","Office Supplies","Newark","United States","Bruce Degenhardt",0.2,1,"2/25/2017","CA-2017-165015",43055,"Staple envelope","Staple envelope",17.52,5,"East",46.72,"Consumer","2/27/2017","Second Class","Ohio","Envelopes"
"2835","Office Supplies","Springfield","United States","Troy Staebel",0.2,1,"9/17/2017","CA-2017-131093",45503,"SAFCO","Safco Industrial Shelving",-62.7725,5,"East",295.4,"Consumer","9/20/2017","Second Class","Ohio","Storage"
"2836","Office Supplies","Philadelphia","United States","John Castell",0.2,1,"7/25/2018","CA-2018-121293",19143,"Fellowes","Fellowes Bankers Box Staxonsteel Drawer File/Stacking System",-25.992,5,"East",259.92,"Consumer","7/28/2018","Second Class","Pennsylvania","Storage"
"2837","Office Supplies","Toledo","United States","Art Foster",0.2,1,"11/10/2017","CA-2017-115588",43615,"Staple remover","Staple remover",-3.312,5,"East",14.72,"Consumer","11/12/2017","Second Class","Ohio","Supplies"
"2838","Office Supplies","Cincinnati","United States","Raymond Buch",0.2,1,"9/25/2018","CA-2018-162572",45231,"Newell","Newell 311",0.9282,6,"East",10.608,"Consumer","9/27/2018","Second Class","Ohio","Art"
"2839","Office Supplies","New York City","United States","Resi Pölking",0.2,1,"11/27/2018","CA-2018-103352",10011,"Avery","Avery Flip-Chart Easel Binder, Black",36.2556,6,"East",107.424,"Consumer","11/30/2018","Second Class","New York","Binders"
"2840","Office Supplies","New York City","United States","Christina DeMoss",0.2,1,"11/5/2018","CA-2018-102925",10024,"GBC","GBC Prestige Therm-A-Bind Covers",55.5822,6,"East",164.688,"Consumer","11/10/2018","Second Class","New York","Binders"
"2841","Office Supplies","Yonkers","United States","Aimee Bixby",0.2,1,"3/5/2015","CA-2015-169061",10701,"GBC","GBC Wire Binding Combs",16.7508,6,"East",49.632,"Consumer","3/8/2015","Second Class","New York","Binders"
"2842","Office Supplies","Columbus","United States","Chloris Kastensmidt",0.2,1,"3/11/2015","CA-2015-166884",43229,"Stockwell","Stockwell Push Pins",1.7004,6,"East",10.464,"Consumer","3/16/2015","Second Class","Ohio","Fasteners"
"2843","Office Supplies","Philadelphia","United States","Gene McClure",0.2,1,"3/26/2016","CA-2016-167374",19140,"Southworth","Southworth 25% Cotton Antique Laid Paper & Envelopes",12.51,6,"East",40.032,"Consumer","3/30/2016","Second Class","Pennsylvania","Paper"
"2844","Office Supplies","Philadelphia","United States","Evan Henry",0.2,1,"9/16/2018","CA-2018-112984",19143,"Xerox","Xerox 1927",6.42,6,"East",20.544,"Consumer","9/18/2018","Second Class","Pennsylvania","Paper"
"2845","Office Supplies","Columbus","United States","Joe Kamberova",0.2,1,"12/1/2015","CA-2015-150798",43229,"Xerox","Xerox 214",12.7008,7,"East",36.288,"Consumer","12/3/2015","Second Class","Ohio","Paper"
"2846","Office Supplies","Philadelphia","United States","Joseph Airdo",0.2,1,"9/22/2018","CA-2018-158379",19134,"Martin-Yale","Martin Yale Chadless Opener Electric Letter Opener",-1049.3406,7,"East",4663.736,"Consumer","9/26/2018","Second Class","Pennsylvania","Supplies"
"2847","Office Supplies","Lancaster","United States","Darrin Martin",0.2,1,"8/24/2018","CA-2018-139717",43130,"Avanti","Avanti 1.7 Cu. Ft. Refrigerator",64.6272,8,"East",646.272,"Consumer","8/26/2018","Second Class","Ohio","Appliances"
"2848","Office Supplies","Philadelphia","United States","Joseph Airdo",0.7,1,"9/22/2018","CA-2018-158379",19134,"Other","Clear Mylar Reinforcing Strips",-4.2987,1,"East",5.607,"Consumer","9/26/2018","Second Class","Pennsylvania","Binders"
"2849","Office Supplies","Akron","United States","Maribeth Dona",0.7,1,"9/4/2018","CA-2018-109757",44312,"Wilson Jones","Wilson Jones Active Use Binders",-3.0576,2,"East",4.368,"Consumer","9/9/2018","Second Class","Ohio","Binders"
"2850","Office Supplies","Columbus","United States","Lena Hernandez",0.7,1,"9/13/2015","CA-2015-126277",43229,"Acco","Acco Suede Grain Vinyl Round Ring Binder",-2.0016,3,"East",2.502,"Consumer","9/18/2015","Second Class","Ohio","Binders"
"2851","Office Supplies","Cuyahoga Falls","United States","Shahid Hopkins",0.7,1,"12/15/2017","CA-2017-113600",44221,"Avery","Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",-1.476,3,"East",2.214,"Consumer","12/17/2017","Second Class","Ohio","Binders"
"2852","Office Supplies","Columbus","United States","Maxwell Schwartz",0.7,1,"8/19/2015","US-2015-164616",43229,"GBC","GBC DocuBind P50 Personal Binding Machine",-58.8616,4,"East",76.776,"Consumer","8/21/2015","Second Class","Ohio","Binders"
"2853","Office Supplies","Akron","United States","Maribeth Dona",0.7,1,"9/4/2018","CA-2018-109757",44312,"GBC","GBC Recycled VeloBinder Covers",-20.448,5,"East",25.56,"Consumer","9/9/2018","Second Class","Ohio","Binders"
"2854","Office Supplies","Cleveland","United States","Alan Shonely",0.7,1,"6/21/2018","CA-2018-101049",44105,"Other","Deluxe Heavy-Duty Vinyl Round Ring Binder",-34.38,6,"East",41.256,"Consumer","6/25/2018","Second Class","Ohio","Binders"
"2855","Office Supplies","Philadelphia","United States","Scot Wooten",0.7,1,"12/5/2016","CA-2016-101091",19140,"GBC","GBC White Gloss Covers, Plain Front",-19.9824,6,"East",26.064,"Consumer","12/9/2016","Second Class","Pennsylvania","Binders"
"2856","Office Supplies","Philadelphia","United States","Sarah Foster",0.7,1,"9/26/2016","CA-2016-120341",19143,"Other","Catalog Binders with Expanding Posts",-100.92,6,"East",121.104,"Consumer","9/29/2016","Second Class","Pennsylvania","Binders"
"2857","Office Supplies","Fairfield","United States","MaryBeth Skach",0.7,1,"11/18/2015","CA-2015-133809",45014,"Pressboard","Pressboard Hanging Data Binders for Unburst Sheets",-8.6592,8,"East",11.808,"Consumer","11/23/2015","Second Class","Ohio","Binders"
"2858","Office Supplies","Philadelphia","United States","Eric Hoffmann",0.7,1,"11/26/2017","US-2017-158288",19120,"Other","Binding Machine Supplies",-57.7566,9,"East",78.759,"Consumer","11/28/2017","Second Class","Pennsylvania","Binders"
"2859","Office Supplies","Henderson","United States","Arthur Prichep",0,1,"11/3/2017","CA-2017-168893",42420,"Boston","Boston 16750 Black Compact Battery Pencil Sharpener",2.625,1,"South",8.75,"Consumer","11/8/2017","Second Class","Kentucky","Art"
"2860","Office Supplies","Louisville","United States","Katherine Hughes",0,1,"12/29/2018","US-2018-158526",40214,"Panasonic","Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop",10.0282,1,"South",34.58,"Consumer","1/1/2019","Second Class","Kentucky","Art"
"2861","Office Supplies","Louisville","United States","Katherine Hughes",0,1,"12/29/2018","US-2018-158526",40214,"GBC","GBC ProClick Spines for 32-Hole Punch",5.8891,1,"South",12.53,"Consumer","1/1/2019","Second Class","Kentucky","Binders"
"2862","Office Supplies","Atlanta","United States","Allen Armold",0,1,"11/14/2017","CA-2017-131065",30318,"Xerox","Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright)",2.376,1,"South",5.28,"Consumer","11/16/2017","Second Class","Georgia","Paper"
"2863","Office Supplies","Richmond","United States","John Lee",0,1,"12/9/2018","US-2018-167920",40475,"Eldon","Eldon Gobal File Keepers",0.6056,1,"South",15.14,"Consumer","12/12/2018","Second Class","Kentucky","Storage"
"2864","Office Supplies","Florence","United States","Irene Maddox",0,1,"12/19/2015","CA-2015-120768",35630,"Acme","Acme Stainless Steel Office Snips",1.9629,1,"South",7.27,"Consumer","12/21/2015","Second Class","Alabama","Supplies"
"2865","Office Supplies","Little Rock","United States","Chris McAfee",0,1,"5/1/2017","CA-2017-101525",72209,"Dixon","DIXON Ticonderoga Erasable Checking Pencils",4.3524,2,"South",11.16,"Consumer","5/4/2017","Second Class","Arkansas","Art"
"2866","Office Supplies","Richmond","United States","Peter Fuller",0,1,"5/5/2015","CA-2015-166457",40475,"Newell","Newell 350",1.9024,2,"South",6.56,"Consumer","5/9/2015","Second Class","Kentucky","Art"
"2867","Office Supplies","Springfield","United States","Alan Shonely",0,1,"3/29/2016","CA-2016-150749",22153,"Newell","Newell 333",1.4456,2,"South",5.56,"Consumer","4/3/2016","Second Class","Virginia","Art"
"2868","Office Supplies","Atlanta","United States","Allen Armold",0,1,"11/14/2017","CA-2017-131065",30318,"ACCOHIDE","ACCOHIDE 3-Ring Binder, Blue, 1""",3.8822,2,"South",8.26,"Consumer","11/16/2017","Second Class","Georgia","Binders"
"2869","Office Supplies","Richmond","United States","John Lee",0,1,"12/9/2018","US-2018-167920",40475,"XtraLife","XtraLife ClearVue Slant-D Ring Binder, White, 3""",13.5056,2,"South",29.36,"Consumer","12/12/2018","Second Class","Kentucky","Binders"
"2870","Office Supplies","Richmond","United States","Lena Cacioppo",0,1,"3/27/2018","CA-2018-113705",23223,"GBC","GBC Instant Index System for Binding Systems",8.88,2,"South",17.76,"Consumer","3/29/2018","Second Class","Virginia","Binders"
"2871","Office Supplies","Auburn","United States","Maurice Satty",0,1,"3/16/2016","CA-2016-134257",36830,"Other","Colored Envelopes",3.3948,2,"South",7.38,"Consumer","3/19/2016","Second Class","Alabama","Envelopes"
"2872","Office Supplies","Richmond","United States","John Lee",0,1,"12/9/2018","US-2018-167920",40475,"Avery","Avery 492",2.6496,2,"South",5.76,"Consumer","12/12/2018","Second Class","Kentucky","Labels"
"2873","Office Supplies","Richmond","United States","Lena Cacioppo",0,1,"3/27/2018","CA-2018-113705",23223,"Avery","Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",3.7996,2,"South",8.26,"Consumer","3/29/2018","Second Class","Virginia","Labels"
"2874","Office Supplies","Little Rock","United States","Chris McAfee",0,1,"5/1/2017","CA-2017-101525",72209,"Xerox","Xerox 1914",53.8608,2,"South",109.92,"Consumer","5/4/2017","Second Class","Arkansas","Paper"
"2875","Office Supplies","Pine Bluff","United States","Doug O'Connell",0,1,"9/23/2018","CA-2018-102309",71603,"Xerox","Xerox 225",6.2208,2,"South",12.96,"Consumer","9/25/2018","Second Class","Arkansas","Paper"
"2876","Office Supplies","Richmond","United States","Peter Fuller",0,1,"5/5/2015","CA-2015-166457",40475,"Xerox","Xerox 1933",11.5432,2,"South",24.56,"Consumer","5/9/2015","Second Class","Kentucky","Paper"
"2877","Office Supplies","Springfield","United States","Michael Moore",0,1,"8/27/2015","CA-2015-101266",22153,"Xerox","Xerox 1898",6.4128,2,"South",13.36,"Consumer","8/30/2015","Second Class","Virginia","Paper"
"2878","Office Supplies","Hampton","United States","Rob Haberlin",0,1,"11/8/2016","CA-2016-109386",23666,"Holmes","Holmes Replacement Filter for HEPA Air Cleaner, Large Room",18.6606,3,"South",44.43,"Consumer","11/13/2016","Second Class","Virginia","Appliances"
"2879","Office Supplies","Atlanta","United States","James Galang",0,1,"9/27/2017","CA-2017-123176",30318,"Binney & Smith","Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",4.5837,3,"South",13.89,"Consumer","9/29/2017","Second Class","Georgia","Art"
"2880","Office Supplies","Columbus","United States","Roy Französisch",0,1,"12/17/2015","CA-2015-123925",31907,"Stanley","Stanley Contemporary Battery Pencil Sharpeners",11.214,3,"South",40.05,"Consumer","12/19/2015","Second Class","Georgia","Art"
"2881","Office Supplies","Sandy Springs","United States","Philip Fox",0,1,"6/30/2017","CA-2017-162355",30328,"Bulldog","Bulldog Vacuum Base Pencil Sharpener",9.7119,3,"South",35.97,"Consumer","7/2/2017","Second Class","Georgia","Art"
"2882","Office Supplies","Henderson","United States","Arthur Prichep",0,1,"11/3/2017","CA-2017-168893",42420,"Other","Economy #2 Pencils",2.0748,3,"South",7.98,"Consumer","11/8/2017","Second Class","Kentucky","Art"
"2883","Office Supplies","Lake Charles","United States","Harry Greene",0,1,"4/29/2015","CA-2015-142727",70601,"Avery","Avery Non-Stick Heavy Duty View Round Locking Ring Binders",8.6112,3,"South",17.94,"Consumer","5/1/2015","Second Class","Louisiana","Binders"
"2884","Office Supplies","Arlington","United States","Allen Goldenen",0,1,"4/19/2015","CA-2015-158470",22204,"GBC","GBC Durable Plastic Covers",26.703,3,"South",58.05,"Consumer","4/23/2015","Second Class","Virginia","Binders"
"2885","Office Supplies","Little Rock","United States","Chris McAfee",0,1,"5/1/2017","CA-2017-101525",72209,"Xerox","Xerox 1994",9.3312,3,"South",19.44,"Consumer","5/4/2017","Second Class","Arkansas","Paper"
"2886","Office Supplies","Atlanta","United States","James Galang",0,1,"9/27/2017","CA-2017-123176",30318,"Xerox","Xerox 1965",8.7906,3,"South",17.94,"Consumer","9/29/2017","Second Class","Georgia","Paper"
"2887","Office Supplies","Richmond","United States","Peter Fuller",0,1,"5/5/2015","CA-2015-166457",40475,"Adams","Adams ""While You Were Out"" Message Pads",4.239,3,"South",9.42,"Consumer","5/9/2015","Second Class","Kentucky","Paper"
"2888","Office Supplies","Louisville","United States","Joni Wasserman",0,1,"12/25/2018","CA-2018-163510",40214,"Fellowes","Fellowes Bankers Box Stor/Drawer Steel Plus",9.594,3,"South",95.94,"Consumer","12/28/2018","Second Class","Kentucky","Storage"
"2889","Office Supplies","North Charleston","United States","Christopher Martinez",0,1,"9/14/2016","CA-2016-128027",29406,"Fellowes","Fellowes Officeware Wire Shelving",5.3898,3,"South",269.49,"Consumer","9/17/2016","Second Class","South Carolina","Storage"
"2890","Office Supplies","Richmond","United States","Lena Cacioppo",0,1,"3/27/2018","CA-2018-113705",23223,"Carina","Carina Mini System Audio Rack, Model AR050B",9.9882,3,"South",332.94,"Consumer","3/29/2018","Second Class","Virginia","Storage"
"2891","Office Supplies","Georgetown","United States","Shahid Shariari",0,1,"9/11/2018","CA-2018-127726",40324,"Fellowes","Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",50.8768,4,"South",195.68,"Consumer","9/13/2018","Second Class","Kentucky","Appliances"
"2892","Office Supplies","Macon","United States","Shui Tom",0,1,"3/1/2016","CA-2016-153325",31204,"XtraLife","XtraLife ClearVue Slant-D Ring Binder, White, 3""",27.0112,4,"South",58.72,"Consumer","3/2/2016","Second Class","Georgia","Binders"
"2893","Office Supplies","Richmond","United States","John Lee",0,1,"12/9/2018","US-2018-167920",40475,"Avery","Avery Durable Slant Ring Binders, No Labels",7.4824,4,"South",15.92,"Consumer","12/12/2018","Second Class","Kentucky","Binders"
"2894","Office Supplies","Georgetown","United States","Shahid Shariari",0,1,"9/11/2018","CA-2018-127726",40324,"Acco","Acco Clips to Go Binder Clips, 24 Clips in Two Sizes",6.674,4,"South",14.2,"Consumer","9/13/2018","Second Class","Kentucky","Fasteners"
"2895","Office Supplies","Henderson","United States","Arthur Prichep",0,1,"11/3/2017","CA-2017-168893",42420,"Advantus","Advantus Plastic Paper Clips",9.6,4,"South",20,"Consumer","11/8/2017","Second Class","Kentucky","Fasteners"
"2896","Office Supplies","Richmond","United States","Lena Cacioppo",0,1,"3/27/2018","CA-2018-113705",23223,"Ampad","Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",8.1144,4,"South",17.64,"Consumer","3/29/2018","Second Class","Virginia","Paper"
"2897","Office Supplies","Richmond","United States","John Lee",0,1,"12/9/2018","US-2018-167920",40475,"Belkin","Belkin F9M820V08 8 Outlet Surge",62.321,5,"South",214.9,"Consumer","12/12/2018","Second Class","Kentucky","Appliances"
"2898","Office Supplies","Hampton","United States","Rob Haberlin",0,1,"11/8/2016","CA-2016-109386",23666,"Newell","Newell 314",6.975,5,"South",27.9,"Consumer","11/13/2016","Second Class","Virginia","Art"
"2899","Office Supplies","Columbus","United States","Lena Hernandez",0,1,"12/25/2016","US-2016-136749",31907,"Other","Tuf-Vin Binders",74.213,5,"South",157.9,"Consumer","12/27/2016","Second Class","Georgia","Binders"
"2900","Office Supplies","Auburn","United States","Maurice Satty",0,1,"3/16/2016","CA-2016-134257",36830,"Other","Dot Matrix Printer Tape Reel Labels, White, 5000/Box",240.8595,5,"South",491.55,"Consumer","3/19/2016","Second Class","Alabama","Labels"
"2901","Office Supplies","Columbus","United States","Russell Applegate",0,1,"9/23/2017","CA-2017-149979",31907,"Eldon","Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays",34.2925,5,"South",118.25,"Consumer","9/28/2017","Second Class","Georgia","Storage"
"2902","Office Supplies","Alexandria","United States","Tom Boeckenhauer",0,1,"4/14/2017","CA-2017-164735",22304,"Acco","Acco Perma 4000 Stacking Storage Drawers",12.18,5,"South",81.2,"Consumer","4/19/2017","Second Class","Virginia","Storage"
"2903","Office Supplies","Florence","United States","Irene Maddox",0,1,"12/19/2015","CA-2015-120768",35630,"Other","Canvas Sectional Post Binders",74.8524,6,"South",152.76,"Consumer","12/21/2015","Second Class","Alabama","Binders"
"2904","Office Supplies","Columbia","United States","Pete Kriz",0,1,"12/21/2018","CA-2018-107461",29203,"Ibico","Ibico Presentation Index for Binding Systems",11.2236,6,"South",23.88,"Consumer","12/26/2018","Second Class","South Carolina","Binders"
"2905","Office Supplies","Florence","United States","Corey-Lock",0,1,"6/29/2017","CA-2017-140543",29501,"Fellowes","Fellowes Bankers Box Stor/Drawer Steel Plus",19.188,6,"South",191.88,"Consumer","7/3/2017","Second Class","South Carolina","Storage"
"2906","Office Supplies","Hampton","United States","Rob Haberlin",0,1,"11/8/2016","CA-2016-109386",23666,"Hunt","Hunt PowerHouse Electric Pencil Sharpener, Blue",79.758,7,"South",265.86,"Consumer","11/13/2016","Second Class","Virginia","Art"
"2907","Office Supplies","Salem","United States","Thea Hendricks",0,1,"5/9/2017","CA-2017-159765",24153,"Other","4009 Highlighters by Sanford",9.1938,7,"South",27.86,"Consumer","5/12/2017","Second Class","Virginia","Art"
"2908","Office Supplies","Springfield","United States","Richard Bierner",0,1,"11/19/2018","CA-2018-146458",22153,"Newell","Newell 349",6.6584,7,"South",22.96,"Consumer","11/22/2018","Second Class","Virginia","Art"
"2909","Office Supplies","Arlington","United States","Sanjit Engle",0,1,"2/2/2017","CA-2017-158841",22204,"Other","Presstex Flexible Ring Binders",18.2,8,"South",36.4,"Consumer","2/4/2017","Second Class","Virginia","Binders"
"2910","Office Supplies","Atlanta","United States","Delfina Latchford",0,1,"11/25/2018","CA-2018-155159",30318,"Wirebound","Wirebound Message Book, 4 per Page",23.9463,9,"South",48.87,"Consumer","11/29/2018","Second Class","Georgia","Paper"
